Id,Data Type,Architecture,Acc.,Prec.,Rec.,F1,Hold. Acc.,Hold. Pre.,Hold. Rec.,Hold. F1,Total accuracy
k1,combined,transformer_mlp,95.54%,93.94%,93.34%,93.64%,88.42%,73.77%,90.50%,80.84%,
k3,combined,3xtransformers,95.44%,92.53%,94.73%,93.60%,93.07%,86.62%,87.72%,86.96%,1.8851
i1,tabular,transformer,94.17%,89.98%,93.90%,91.89%,94.16%,93.73%,83.37%,88.21%,1.8833
i4,tabular,mlp,90.66%,85.49%,88.56%,86.95%,93.95%,92.05%,84.16%,87.92%,1.8461
i3,tabular,1dcnn,89.98%,85.82%,85.71%,85.74%,93.80%,89.53%,86.53%,87.96%,1.8378
i2,tabular,lstm,90.10%,84.16%,88.63%,86.29%,92.87%,86.50%,86.34%,86.37%,1.8297
j5,image,transformer,95.22%,94.15%,92.16%,93.12%,79.22%,57.42%,89.50%,69.54%,1.7444
j2,image,cnn_lstm,86.42%,83.12%,77.46%,80.01%,84.70%,69.39%,77.43%,72.68%,1.7112
j1,image,cnn,93.10%,91.18%,89.18%,90.00%,75.45%,53.13%,86.34%,65.09%,1.6855
j4,image,cnn_tcn,87.81%,84.04%,80.93%,82.30%,79.12%,59.20%,77.43%,66.28%,1.6693
j3,image,3dcnn,90.81%,87.94%,85.72%,86.76%,70.03%,44.47%,59.21%,50.75%,1.6084
